CreditScoreCategory,Industry,Region,ContractType,CollateralValue,LGD,PctChangeRevenue,PctChangeNetProfit,DebtToEquity,InterestCoverage,EquipmentAge,LeaseToValue,MaintenanceScore,OperatingMargin
Medium,Energy,South,Lease,48756.87,0.6296,29.03,-7.51,1.32,1.7,5,0.87,49.2,0.0618
High,Construction,North,Loan,49163.11,0.6161,-24.02,4.66,1.4,4.09,4.3,0.68,53.4,0.1485
Medium,Manufacturing,East,Lease,77313.18,0.6112,-31.15,-75.47,1.11,3.38,4.6,0.69,64.2,0.0648
Medium,Mining,North,Loan,30718.77,0.7519,-1.36,-35.99,2.74,4.02,2.6,0.54,67.6,0.1061
Medium,Transportation,East,Loan,53720.76,0.646,-15.87,-3.36,1.32,2.53,3.8,0.69,65.9,0.0567
Medium,Mining,South,Loan,51329.76,0.6442,17.48,-63.31,1.2,4.5,6.4,0.87,40.7,0.0414
Low,Construction,South,Lease,40945.79,0.7047,-21.36,-4.21,0.95,1.21,4.7,0.84,74,0.0484
Low,Transportation,North,Loan,80597.32,0.6169,-10.99,-0.51,1.88,2.11,9.3,0.68,65.7,0.0789
Medium,Energy,West,Lease,55048.23,0.6271,-6.65,-22.12,0.57,2.4,3.8,0.69,64.3,0.1075
Medium,Mining,West,Lease,60076.6,0.6006,35.31,-20.36,0.61,4.2,4.8,0.58,70.3,0.0601
Low,Transportation,South,Loan,62219.06,0.6234,42.15,-31.37,1.48,2.18,6,0.73,73.6,0.2324
Medium,Transportation,East,Lease,45187.19,0.6924,-22.83,-14.53,1.73,1.55,6.2,0.73,68.2,0.0864
High,Transportation,West,Loan,68626.46,0.576,-43.91,10.8,1.46,3.01,4.5,0.75,55.4,0.0362
Low,Manufacturing,South,Lease,65608.02,0.6543,-11.48,12.88,2.51,6.66,3.6,0.54,49.2,-0.0095
Medium,Mining,East,Lease,48168.49,0.616,-0.74,30.74,1.24,1.54,4.4,0.82,83.2,0.194
Medium,Transportation,East,Lease,64074,0.5968,-0.83,-4.71,1.35,4.86,5.9,0.68,55.3,0.1232
High,Mining,West,Lease,68599.04,0.5458,-1.68,13.71,1.48,2.99,4.5,0.82,51.3,0.0489
Low,Transportation,South,Loan,61926.43,0.6661,16.32,-43.54,1.52,3.01,9.9,0.72,70.3,0.0835
Medium,Energy,East,Lease,37471.71,0.6755,-8.06,6.24,1.44,2.1,4.4,0.84,77.2,0.0647
High,Energy,East,Loan,48614.68,0.6052,4.27,-6.68,1.41,3.94,5.5,0.76,89,0.1417
High,Energy,North,Lease,57130.56,0.5585,12.89,14.98,0.85,4.56,5.1,0.62,56.8,0.2024
Medium,Construction,North,Loan,53781.81,0.6278,4.39,-8.47,1.84,5.26,4.6,0.78,59,0.0558
Medium,Transportation,West,Loan,38822.41,0.6766,13.51,-11.29,1.99,3.43,6.8,0.8,73.1,0.1368
Medium,Construction,North,Lease,45701.55,0.6814,-34.16,-24.7,1.26,1.96,3,0.72,79.6,0.1016
High,Mining,South,Lease,55278,0.5875,2.29,30.23,1.48,5.68,9.7,0.67,61.2,0.0751
Medium,Construction,West,Loan,27361.78,0.7286,4.6,-18.4,2.28,2.32,3.6,0.79,79.8,0.0843
Low,Mining,West,Lease,50289.95,0.6437,-3.31,55.93,1.12,1.84,6,0.82,61,0.045
High,Mining,North,Lease,60449.67,0.6229,-11.95,-39.34,1.6,3.43,5.4,0.57,71.8,0.1153
Medium,Mining,East,Lease,54244.07,0.6165,9.22,35.14,1.55,1.55,5,0.71,50.3,0.1182
Medium,Construction,South,Lease,37137.82,0.7413,2.46,-65.29,2.3,2.25,7.6,0.68,76.3,0.1309
Low,Transportation,South,Lease,39777.32,0.7133,-1.05,-5.08,2.43,3.94,8.9,0.89,77.6,0.1101
Medium,Construction,South,Lease,72304.93,0.5859,-6.57,-17.64,1.9,7.31,3.4,0.63,73,0.0504
Medium,Transportation,West,Lease,35935.3,0.7037,-5.78,13.18,3.27,3.85,3.5,0.76,41.8,0.1332
Medium,Transportation,South,Lease,67785.02,0.5797,-15.31,24.5,1.51,4.78,6.1,0.77,64,0.0578
Low,Mining,East,Lease,40680.27,0.655,-9.51,58.03,0.1,2.24,4.9,0.71,75.4,0.0966
Medium,Construction,East,Loan,66952.61,0.5943,-18.79,-15.96,1.24,3.4,4,0.84,58.1,0.0515
High,Transportation,North,Lease,58116.56,0.6109,-7.74,-22.09,1.27,0.12,4.4,0.69,88.1,0.1486
Low,Energy,South,Lease,44779.36,0.713,7.29,26.47,2.28,1,4,0.58,100,0.0648
High,Transportation,West,Lease,23502.05,0.6559,16.39,-4.08,1.41,3.23,2.8,0.85,56.8,0.2052
Medium,Energy,North,Lease,55978.52,0.657,-1.02,-19.06,2.16,3.53,5.5,0.66,79.4,0.0744
High,Construction,East,Lease,52723.45,0.6137,-1.58,-13.36,1.9,4.27,5.1,0.71,67.7,0.1277
Medium,Construction,South,Loan,56208.69,0.6372,2.88,-21.32,1.65,2.72,4.1,0.68,76.7,0.1305
Medium,Construction,East,Loan,58091.02,0.6362,19.67,-50.07,1.7,5.26,1.2,0.61,68.3,0.035
Medium,Transportation,North,Lease,30288.09,0.7001,-4.5,46.89,1.64,3.83,4.3,0.61,67.2,0.002
High,Manufacturing,East,Loan,55899.08,0.6418,9.26,14.65,2.07,0.28,8.9,0.55,63.1,0.0495
Medium,Transportation,South,Lease,61138.11,0.6363,7.41,-48.32,1.37,0.28,4.3,0.75,77.7,0.1095
Medium,Transportation,South,Lease,60961.14,0.5887,-12.47,44.99,1.31,3.19,4.4,0.77,47.3,0.0521
Medium,Mining,North,Loan,31204.15,0.698,14.13,5.31,1.71,2.64,4,0.72,59.5,0.0591
High,Mining,South,Loan,67314.48,0.5771,-41.44,-6.35,1.6,3.33,6.2,0.76,71.2,0.1821
Medium,Transportation,East,Loan,56430.49,0.6183,21.23,15.89,1.4,2.5,7.1,0.69,61,0.0727
Medium,Energy,East,Loan,58333.22,0.6558,-23.88,-13.06,2.59,2.1,3.7,0.72,88.4,0.145
Medium,Mining,West,Loan,36564.5,0.7144,-2.78,-39.47,1.86,1.9,2,0.7,78.2,0.0839
High,Transportation,West,Lease,61356.38,0.5771,16.58,-16.17,1.22,2.91,4.3,0.69,53.9,0.089
Low,Manufacturing,West,Lease,24141.29,0.7693,-8.54,-2.19,1.8,4.26,4,0.59,66.2,0.0769
Medium,Energy,East,Lease,37277.05,0.6805,4.68,-27,1.03,1.39,4.6,0.83,81.8,0.091
Low,Construction,East,Loan,68998.76,0.6084,16.9,15.26,0.93,2.79,7.4,0.67,74.6,0.0298
Medium,Transportation,North,Lease,60628.92,0.5779,36.96,38.39,1.9,5.14,3,0.65,68.1,0.0553
Medium,Transportation,West,Loan,54372.62,0.6546,-0.3,-10.96,1.07,0.39,5.8,0.64,67.7,0.0627
Medium,Energy,East,Lease,64155.71,0.6342,3.6,-68.66,1.52,3.96,5.9,0.66,87.6,0.1324
Medium,Mining,North,Loan,65197.89,0.5928,0.81,-4.98,0.98,2.69,6,0.66,50,0.1761
Medium,Mining,East,Loan,61368.73,0.6245,-4.43,-25.51,1.36,1.83,6.4,0.72,97.5,0.1642
Medium,Mining,North,Lease,46738.58,0.6813,-26.91,-6.43,1.28,2.17,1.2,0.53,73.1,0.0845
Low,Construction,West,Lease,36829.3,0.7378,-22.42,-6.82,1.45,4.55,6.2,0.61,95.7,0.0488
Medium,Energy,West,Lease,40048.81,0.6987,-0.29,-25.84,2.65,2.8,5,0.85,69.5,0.094
Low,Energy,West,Lease,71158.82,0.6305,6.82,-41.02,2.14,1.39,3.6,0.84,100,0.1192
Low,Mining,East,Loan,30867.52,0.7373,25.23,0.37,1.44,1.7,8.3,0.67,60.5,0.0982
Medium,Mining,East,Lease,57362.35,0.615,-4.19,-23.04,1.4,2.25,6.8,0.95,71.2,0.1381
Medium,Manufacturing,North,Loan,57385.39,0.5632,30.57,52.31,1.15,4.3,3.4,0.77,82.2,0.0443
Medium,Manufacturing,South,Lease,72020.86,0.5646,-24.09,7.39,0.98,2.25,4,0.85,81.8,0.0989
Medium,Transportation,South,Lease,57343.39,0.6368,4.2,-22.01,1.43,2.96,7.2,0.71,57,0.0959
Medium,Transportation,West,Lease,43651.64,0.6973,-5.34,-14.22,2.17,1.96,4.9,0.67,48.3,0.0894
High,Energy,South,Lease,43887.87,0.6124,-26.25,-4.54,0.1,2.4,2.4,0.8,57.4,0.0662
Medium,Energy,West,Lease,49913.29,0.6784,-33.86,2.94,2.01,2.76,8.5,0.81,66.4,0.0255
Medium,Construction,North,Loan,66990.04,0.6173,-8.69,18.49,2.07,1.6,4.5,0.67,67.8,0.0287
Low,Construction,South,Lease,62097.8,0.5975,-7.2,34.35,0.43,1.83,5.1,0.74,71.6,0.1898
Medium,Manufacturing,South,Loan,33714.33,0.7472,-17.76,-2.13,1.52,2.22,5.9,0.41,80.8,0.0342
Medium,Transportation,West,Lease,54179.94,0.6088,15.23,13.66,1.28,5.25,3.3,0.63,68.4,0.0708
Medium,Manufacturing,North,Loan,62378.95,0.6007,-8.11,12.79,1.42,3.09,7.6,0.84,40.1,0.0659
Medium,Manufacturing,South,Lease,46442.37,0.6769,-19.73,2.96,1.61,1.66,3.1,0.65,84.6,0.0751
Medium,Transportation,South,Lease,17600.38,0.7363,-4.72,-6.23,1.66,4.27,5.5,0.69,87.4,0.2071
Medium,Construction,South,Lease,47052.9,0.635,-12.63,4.25,0.81,4.35,3.9,0.69,74.9,0.1224
Medium,Transportation,North,Loan,27722.75,0.7484,32.94,-19.6,2.31,1.63,7.1,0.59,65.8,0.0736
High,Mining,North,Loan,25348.18,0.6972,-6.31,-34.03,1.26,5.44,6.1,0.69,73.8,0.0969
Medium,Mining,South,Lease,65977.49,0.6062,-18.35,43.32,2.82,3.57,4.6,0.68,87.4,0.138
High,Mining,West,Lease,87815.46,0.4662,32.9,6.47,1.03,3.63,1.9,0.61,53.3,0.1594
Low,Energy,West,Lease,70464.28,0.5914,14.5,8.2,0.97,3.54,5.8,0.69,60.7,0.1215
Low,Construction,South,Loan,10841.1,0.8,2.13,-6.5,1.66,3.51,5.3,0.58,60.5,0.1913
Low,Construction,North,Lease,47404.81,0.6913,-15.93,14.95,1.95,2.83,1.9,0.7,53.2,0.0601
Medium,Energy,South,Loan,41154.67,0.6781,15.33,-5.4,2.14,3.97,5.4,0.69,100,0.0857
High,Manufacturing,North,Lease,27936.17,0.6949,-29.27,-45.51,1.01,2.5,6.3,0.9,71.9,0.1092
Low,Mining,South,Loan,56972.88,0.648,13.87,-16.04,1.33,5.36,5.1,0.62,53.1,0.1176
High,Mining,North,Loan,47228.09,0.6392,5,17.93,2.43,0.1,4,0.78,49.3,0.0671
Low,Manufacturing,East,Loan,32538.66,0.7464,19.8,-17.81,1.32,1.64,7.7,0.56,82.6,0.153
High,Transportation,West,Lease,19154.82,0.7472,-47.21,-54.98,1.95,3.53,8.7,0.95,87.2,0.1291
Medium,Transportation,East,Loan,40866.26,0.6616,-18.41,-8.8,0.55,2.88,2.8,0.74,84.3,0.0733
Low,Construction,West,Lease,50118.61,0.7035,-19.99,-51.92,0.69,2.25,7.1,0.72,98.1,0.0809
Medium,Energy,North,Loan,48223.75,0.6666,-22.36,-9.25,1.98,3.26,5.9,0.76,63.4,0.1508
Low,Construction,East,Lease,65941.74,0.6135,8.5,35.56,1.43,1.18,3.8,0.71,50.7,0.0711
Low,Transportation,West,Loan,55069.76,0.7054,-5.91,-38.15,1.88,1.45,4.6,0.66,100,0.0532
Medium,Manufacturing,South,Loan,44830.57,0.67,-17.43,19.44,1.19,2.81,4.7,0.61,59.8,0.0405
High,Construction,North,Lease,37741.59,0.6315,-22.06,51.44,0.67,3.58,7.1,0.72,79.6,0.0031
Medium,Mining,North,Lease,23436.1,0.7102,-19.22,38.19,1.55,1.93,4.1,0.83,57.4,0.0788
Medium,Mining,South,Loan,33630.86,0.7115,17.32,-6.83,0.8,0.3,1.3,0.51,86.1,-0.0281
Medium,Manufacturing,South,Loan,70374.81,0.5797,-1.33,-27.46,1.56,3.34,4.6,0.92,50.8,0.0636
Medium,Transportation,West,Lease,62970.09,0.5841,16.63,5.25,1.02,3.73,6.9,0.61,100,0.2153
Low,Mining,North,Loan,54331.52,0.655,53.29,5.66,1.83,1.36,7.4,0.73,75.8,0.0605
Medium,Mining,West,Loan,42588.96,0.6568,-0.36,27.65,1.36,2.41,4.2,0.63,49.8,0.1371
Low,Energy,South,Lease,68615.3,0.6264,-28.34,1.54,1.35,4.36,6,0.69,38.1,0.1103
Low,Construction,North,Lease,34833.25,0.7247,-2.74,12.08,1.67,1.26,7.4,0.73,68.9,0.1715
Medium,Transportation,South,Lease,35004.81,0.7038,37.58,-27.27,1.96,2.95,6.3,0.68,86.5,0.0633
Low,Construction,West,Loan,48597.84,0.6736,21.73,22.19,1.59,2,9.1,0.72,63.1,0.1023
Medium,Transportation,West,Loan,17252.92,0.7782,-12.92,-38.28,2.39,6.28,7.8,0.71,89.4,0.0867
Medium,Mining,West,Loan,34407.85,0.7241,-6.08,-18.83,2.37,1.16,4.1,0.76,54.8,0.1038
Low,Energy,North,Lease,46456.57,0.6766,15.5,18.03,1.15,0.26,4.8,0.75,81.4,0.0437
Medium,Construction,South,Loan,43081.49,0.6605,9.59,38.73,0.94,3.91,8.4,0.48,65.8,0.0676
Low,Mining,South,Lease,35176.17,0.6968,15.71,20.52,0.89,2.51,2.7,0.67,80.9,0.0311
High,Transportation,West,Lease,80530.95,0.5454,-4.78,-0.97,2.4,1.45,4.9,0.83,57.7,0.0423
Medium,Construction,West,Loan,70448.9,0.5734,7.77,-0.69,0.89,2.26,8.8,0.78,61.3,0.1061
High,Construction,West,Lease,75719.02,0.5525,-6.11,-27.24,1.31,5.27,9.1,0.59,49.3,0.1956
Medium,Mining,West,Loan,48514.34,0.6419,27.87,-11.08,1.51,3,5.6,0.66,87.5,0.1524
Low,Construction,East,Lease,42671.21,0.7416,-30.53,-57.47,2.39,5.2,1.7,0.68,62.6,0.1126
Medium,Energy,East,Lease,74024.95,0.5641,-30.46,49.77,0.84,1.14,4.3,0.68,62.7,0.0724
High,Energy,East,Lease,51278.1,0.6017,-14.29,66.49,2.04,4.63,6.4,0.68,62.3,0.0254
Medium,Mining,West,Loan,34092.65,0.7452,-13.57,-58.28,1.51,1.55,3.4,0.65,78.2,0.0296
High,Transportation,West,Lease,35134.54,0.7092,-30.53,-43.03,1.44,4.84,9.7,0.6,36.3,0.0985
High,Mining,South,Loan,45133.58,0.5866,-34.13,40.87,1.49,4.72,4.5,0.91,50.8,0.1978
Low,Energy,North,Lease,49669.69,0.6797,21.37,-23.54,1.15,1.51,7.7,0.72,90.3,0.1336
Low,Manufacturing,South,Lease,51221.92,0.6464,-3.34,41.55,1.29,3.63,4.8,0.68,73.5,0.111
Medium,Manufacturing,East,Lease,47246.23,0.6196,-4.85,22.62,1.14,3.31,5.6,0.78,60.9,0.2133
Medium,Construction,South,Loan,85094.06,0.5397,1.13,-9.63,0.84,4.4,5,0.54,83.2,0.1056
High,Construction,West,Loan,29703.19,0.6325,31.96,28.34,0.91,1.3,3.9,0.75,73.1,0.1269
High,Manufacturing,East,Loan,60090.67,0.6015,2.33,-1.1,2.09,2.39,4.2,0.55,90.3,0.2083
Medium,Energy,East,Loan,42838.21,0.6608,-2.22,-1.62,1.32,3.07,6.4,0.74,60.9,0.1487
Low,Construction,North,Loan,49418.22,0.6771,-12.75,15.86,1.84,5.26,4.6,0.61,58,0.1239
Medium,Mining,North,Lease,64107.43,0.5869,11.98,23.76,1.41,3.09,4.1,0.77,49.2,-0.0198
Low,Mining,East,Lease,23258.77,0.7162,-1.29,30.07,1.4,1.54,6.2,0.97,86.3,0.1726
High,Energy,East,Loan,35811.95,0.616,33.04,70.65,1.46,3.48,8.1,0.72,86,0.0344
Medium,Construction,South,Loan,47995.11,0.6951,-3.22,10.94,1.87,1.48,8.4,0.55,80.5,0.0137
Medium,Mining,East,Loan,72143.78,0.5564,20.15,38.79,1.16,0.47,3,0.63,55.2,0.1144
Low,Construction,West,Loan,72064.7,0.5879,-14.22,37.95,1.42,2.76,3.4,0.73,48.5,0.1292
Medium,Construction,South,Lease,69159.52,0.5913,-14.42,20.55,1.95,3.42,7.6,0.83,83.5,0.0475
Medium,Mining,West,Loan,17099.18,0.7966,-36.54,-15.83,2.04,3.29,4,0.59,73.7,0.024
Medium,Manufacturing,West,Loan,34253.46,0.6748,15.89,32.91,2.24,3.08,4.5,0.89,56.2,-0.0108
Low,Mining,West,Loan,34870.47,0.6815,-0.76,13.38,1.02,5.68,2.3,0.76,79.4,0.0738
Medium,Energy,East,Loan,49171.47,0.6482,12.79,-38.66,1.18,5.33,6.4,0.7,98.1,0.0843
High,Transportation,North,Lease,22204.6,0.6699,33.92,30.41,1.4,1.76,4.9,0.79,64.8,0.0296
Low,Mining,North,Lease,66468.45,0.6473,-16.93,-48.79,0.84,4.41,7.1,0.57,68.7,0.2003
Low,Construction,West,Loan,20084.19,0.7743,-19.96,19.43,1.94,6.39,6.6,0.61,84.1,0.0641
Low,Construction,East,Lease,65487.89,0.6571,-15.74,-16.56,1.64,5.64,7.1,0.56,88.6,0.0707
Medium,Mining,South,Lease,63062.58,0.5944,-42.07,4.9,1.42,4.51,7.1,0.92,70.9,0.149
Medium,Transportation,West,Loan,33584.22,0.7326,-3.86,-41.82,2.01,2.8,4.2,0.7,43.6,0.0535
Medium,Mining,South,Loan,68929.32,0.5813,17.68,-21.72,1.12,1.04,5,0.72,85.9,0.2004
Low,Transportation,South,Lease,45001.84,0.7019,0.98,-15.7,2.06,1.56,5.4,0.81,60.2,0.1492
Medium,Transportation,East,Lease,41109.52,0.7206,-31.42,-4.57,2.37,3.79,5.2,0.56,76.3,0.0827
Medium,Energy,East,Lease,43678.29,0.6824,-7.14,-17.84,1.65,3.44,6.4,0.62,87.1,0.1723
Medium,Construction,North,Lease,44964.76,0.6408,2.5,10.44,1.5,3.1,4.1,0.74,80.3,0.1727
High,Construction,North,Lease,46344.89,0.592,19.25,14.31,1.58,4.37,5.6,0.87,71.6,0.0782
Low,Transportation,East,Loan,46685.4,0.6552,15.93,-13.4,0.81,4.75,3.8,0.79,69.4,0.0512
Medium,Construction,West,Lease,36645.26,0.6784,-6.91,1.17,1.4,4.75,5.5,0.74,58.8,0.0782
Medium,Manufacturing,North,Lease,40127.06,0.6829,-6.94,15.95,2.53,4.1,5.7,0.73,73.9,0.126
Medium,Transportation,South,Lease,41425.96,0.7027,11.88,-67.34,2.56,3.78,2.6,0.81,54,0.0737
Medium,Construction,West,Lease,75090.95,0.5877,-11.87,13.26,1.55,2.21,5.7,0.6,82.7,0.0844
Medium,Manufacturing,South,Lease,41432.71,0.6729,17.11,-19.25,1.23,3.13,7.7,0.73,84,0.0742
High,Energy,East,Lease,40469.53,0.7028,-13.18,-79.91,2.01,3.54,7.1,0.75,69.1,0.0669
Low,Construction,South,Lease,72744.93,0.5937,31.02,-11.75,1.48,2.92,2.6,0.67,59.5,0.1151
Low,Manufacturing,West,Lease,45169.87,0.7229,4.71,-30.23,1.97,0.61,2.5,0.69,43.8,0.0736
Medium,Mining,East,Loan,36646.52,0.7144,-39.19,-14.08,1.13,3.48,6.1,0.54,57.7,0.1751
Medium,Mining,West,Loan,33395.64,0.6927,12.81,14.01,1.65,2.91,5.3,0.64,59.5,0.0979
Low,Manufacturing,South,Lease,28697.59,0.7503,5.1,25.51,1.32,2.79,4.7,0.46,71,0.0467
Low,Transportation,West,Loan,58117.77,0.604,9.72,38.69,1.5,3.86,0,0.77,56.7,0.1032
Low,Transportation,East,Loan,22934.74,0.6945,45.04,40.52,1.21,3.83,2.9,0.71,83.3,0.135
High,Construction,South,Loan,70195.07,0.5713,-5.23,-31.1,1.43,4.79,7.6,0.69,91.4,0.0941
Low,Mining,South,Loan,48630.03,0.6796,-31.05,36.3,1.65,3.89,5.8,0.73,71.8,0.0611
Medium,Transportation,North,Loan,43443.88,0.6937,25.35,-36.7,1.85,2.42,9,0.73,49.7,0.0489
Low,Transportation,North,Loan,46574.67,0.6837,-35.59,31.74,1.42,4.99,6.7,0.67,36.3,0.1151
Medium,Mining,West,Lease,56945.85,0.641,-14.93,17.13,2.23,5.26,5.7,0.56,70.8,0.1197
Low,Energy,North,Lease,42952.41,0.6636,0.84,5.12,0.86,2.97,1.9,0.75,64,0.1524
Medium,Transportation,North,Loan,47123.42,0.6697,-17.97,-26.59,0.75,4.87,5.7,0.6,54.6,0.0486
Low,Manufacturing,North,Lease,65796.2,0.5999,-1.28,35.93,1.2,3.25,4.8,0.74,65.7,0.1044
High,Construction,North,Loan,55203.58,0.5933,-2.72,-30.23,1.51,4.72,2.7,0.83,100,0.0577
Low,Transportation,East,Lease,31250.57,0.7111,30.72,-0.68,2.31,4.99,7.6,0.88,97.2,0.108
Medium,Transportation,East,Lease,39383.77,0.7071,-48.43,2.04,1.41,2.05,5.1,0.74,96.5,0.0287
High,Energy,North,Lease,23278.75,0.7,1.75,-50.93,1.03,5.1,5.8,0.67,63.3,0.1617
Medium,Manufacturing,West,Loan,59228.7,0.6296,-18.41,4.47,1.18,3.07,3.3,0.65,65.6,-0.003
Medium,Construction,East,Lease,60830,0.6367,-11.25,-32.86,1.54,3.58,5.7,0.73,84.7,0.0498
Medium,Transportation,North,Lease,35984.52,0.6584,13.6,43.22,0.96,4.67,4.7,0.51,70.8,0.1084
Medium,Construction,East,Loan,84572.79,0.5418,10.36,81.12,2.46,2.61,9.6,0.62,78.8,0.0536
Medium,Mining,South,Loan,86568.29,0.5228,6.86,-22.01,0.33,4.49,3.9,0.62,51.1,0.0551
High,Transportation,East,Lease,50342.14,0.6136,-25.16,-11.79,1.12,3.25,3.6,0.74,76.6,0.1331
Medium,Transportation,East,Loan,38039.49,0.682,23.72,4.99,1.22,2.32,5.5,0.69,47.5,-0.0428
Medium,Mining,West,Lease,54107.02,0.6663,-17.52,-61.82,1.01,3.97,4.5,0.72,34.6,0.0062
Medium,Energy,East,Lease,37684.52,0.6502,27.73,49.3,1.84,4.88,5.5,0.69,64.2,0.0421
Medium,Transportation,West,Loan,64250.48,0.6232,-12.99,-9.56,1.17,3.16,8.3,0.68,84.3,0.0415
Low,Construction,South,Loan,52495.39,0.6661,20.62,-11.99,1.81,1.48,3,0.73,75.7,0.1395
Medium,Manufacturing,North,Lease,53574.11,0.6337,2.03,20.69,2.29,2.52,5.2,0.77,67.3,0.1222
High,Construction,West,Loan,76387.49,0.5563,-33.48,2.55,2.12,1.94,3.7,0.81,38.4,0.1062
Low,Energy,East,Lease,40714.65,0.6808,-7.11,4.93,1.58,6.41,3.7,0.7,45.7,0.1617
Medium,Manufacturing,East,Loan,41315.14,0.6535,34.05,25.31,1.5,1.69,4.7,0.81,65.7,-0.0556
Low,Construction,West,Loan,62875.56,0.6384,16.47,-3.75,1.94,0.1,5,0.86,64.8,0.1029
Medium,Construction,South,Loan,43670.04,0.6925,-8.7,-33.7,1.36,2.42,8.6,0.64,69.1,0.1885
Low,Mining,North,Loan,74057.47,0.5536,26.07,36.72,1.26,3.28,4,0.78,97,0.1161
Medium,Energy,East,Loan,65007.45,0.6065,5.64,-17.56,1,3.05,4.5,0.64,72.1,0.0483
Medium,Mining,South,Lease,44429.58,0.6309,32.86,-15.92,1.65,3.27,1.3,0.82,90.1,0.1319
Medium,Manufacturing,North,Lease,22826.5,0.7245,-1.58,6.92,0.97,1.08,5.9,0.72,59.2,0.1006
Medium,Mining,North,Lease,28216.35,0.7312,-5.84,-39.18,1.15,3.09,5.2,0.66,36.3,0.104
Medium,Energy,East,Loan,42773.51,0.699,19.76,7.18,2.55,1.51,6.2,0.61,86.1,0.0553
High,Transportation,West,Lease,56070.65,0.5802,5.04,28.43,1.84,4.36,5.5,0.64,89.9,0.1749
Low,Transportation,East,Lease,66534.16,0.5946,11.15,47.4,1.7,1.29,1.4,0.68,92,0.173
Medium,Manufacturing,East,Loan,46740.69,0.6454,-17.25,22.2,1.14,2.87,8.5,0.81,55.8,0.0914
Low,Transportation,East,Loan,36666.68,0.7088,23.42,32.19,1.89,1.81,5.6,0.67,61.2,0.078
High,Mining,South,Loan,47888.87,0.6071,19.65,-19.19,0.99,4.43,5.7,0.65,61.7,0.1435
High,Manufacturing,West,Lease,50305.54,0.5742,27.03,24.76,0.74,2.29,8.5,0.88,77.6,0.0427
Medium,Energy,South,Lease,69574.18,0.6122,-27.2,-5.73,1.22,1.42,4,0.66,55.8,0.0581
High,Manufacturing,East,Loan,68741.36,0.5356,-23.25,34.78,0.91,4.58,2.2,0.58,74.9,0.1339
Medium,Manufacturing,West,Lease,34971.47,0.7245,-14.94,3.08,1.73,0.1,2.8,0.56,83.7,0.097
Medium,Construction,North,Lease,56811.38,0.6108,-4.79,32.33,1.68,4.04,4.9,0.63,80.6,0.1652
Low,Construction,West,Loan,37192.31,0.7294,-26.66,4.84,1.61,3.51,4.8,0.7,55,0.0554
Medium,Manufacturing,East,Lease,37615.97,0.6882,12.75,-23.02,1.79,6.78,8.3,0.7,84.4,0.0472
Low,Transportation,West,Loan,65580.13,0.6385,-8.77,1.19,1.77,3.98,5.8,0.64,71,0.1328
High,Construction,North,Lease,47010.39,0.6227,25.12,-9.92,1.16,3.75,2.1,0.55,61.4,0.0257
Medium,Energy,North,Loan,59597.93,0.5896,41.98,38.92,1.74,1.72,3.6,0.61,85.4,0.1358
Medium,Mining,West,Lease,58021.02,0.6631,-11.88,-40.68,1.66,2.67,3.8,0.57,71,0.1022
Low,Construction,North,Lease,48807.72,0.7373,-15.35,-50.32,1.19,3.39,4.5,0.4,91.2,0.0539
Medium,Manufacturing,South,Loan,54994.82,0.6301,14.95,8.77,1.32,5.13,3.6,0.47,85.8,0.0423
Low,Transportation,West,Loan,53057.8,0.6787,1.94,-9.7,1.93,1.85,2.6,0.73,80.3,0.0711
Medium,Mining,North,Loan,32743.25,0.7232,7.39,-34.37,0.84,0.24,5.3,0.67,69.4,0.0264
Low,Construction,North,Loan,57309.88,0.6261,26.59,-1.06,1.67,3.11,4.1,0.76,48.6,0.2037
High,Transportation,West,Lease,39410.04,0.6586,-5.43,7.99,1.45,0.61,2.5,0.63,47.8,0.0973
Medium,Transportation,South,Loan,33963.58,0.6923,-21.31,36.86,1.49,4.21,8.2,0.64,100,0.1123
Medium,Transportation,West,Loan,62819.65,0.6484,-24.61,-55.58,1.36,5.27,4.9,0.61,78,0.0327
Medium,Manufacturing,North,Loan,41130.21,0.6912,-3.55,5.56,1.71,4.55,9,0.61,89.8,0.0544
Medium,Energy,West,Loan,66660.32,0.5722,-7.04,49.24,0.71,2.24,7.3,0.62,72.3,0.1403
Medium,Transportation,North,Loan,66475.4,0.5406,17.3,47.82,1.63,5.43,4.1,0.87,68.4,0.0425
Medium,Mining,East,Lease,42848.73,0.6607,27.85,2.77,0.98,1.85,8.7,0.69,71.4,0.071
High,Construction,West,Loan,66025.11,0.5926,27.77,-17.73,2.02,1.53,7.2,0.62,73.4,0.1146
Medium,Mining,West,Loan,44160.12,0.6407,-14.02,-8.09,0.85,5.14,3.8,0.8,70.7,0.0778
High,Manufacturing,North,Loan,48974.15,0.6222,-16.06,-29.54,0.3,2.47,4.4,0.7,94.5,0.0667
High,Manufacturing,North,Lease,57406.79,0.5974,-36.27,-13.24,0.65,3.24,5.6,0.81,83,0.0346
Low,Mining,North,Lease,80590.95,0.5646,0.06,2.35,1.47,4.52,4.6,0.75,75.9,0.1416
High,Energy,North,Lease,64113.46,0.5474,17.69,14.12,0.72,1.35,7.1,0.71,82.9,0.1665
Low,Manufacturing,West,Loan,49133.16,0.6525,-14.13,25.6,0.85,2.2,5.8,0.73,84.5,0.2012
